Estado,Bioma,Latitude,Longitude,Mês,Temperatura,Umidade,Precipitacao,NDVI,Focos_Calor,Declividade,Distancia_Rios,Uso_Solo,Nivel_Risco
AM,Amazônia,-3.42426,-64.20315,Junho,30.5,11.1,17.8,0.683,59,6.8,1957.5,Floresta,Médio
GO,Cerrado,-17.50203,-48.72061,Setembro,20.7,19.3,33.7,-0.015,16,19.4,4139.8,Cerrado/Savana,Baixo
MT,Cerrado/Amazônia,-12.42375,-55.02969,Janeiro,20.6,40.9,25.7,0.875,49,18.5,3538.3,Pastagem,Baixo
CE,Caatinga,-4.66011,-41.42452,Novembro,18.4,59.3,29.8,0.606,31,20.9,618.7,Área Urbana,Médio
AM,Amazônia,-4.25285,-61.37278,Fevereiro,20.1,26.4,304.2,-0.088,33,20.3,3177.1,Cerrado/Savana,Alto
BA,Caatinga,-11.5145,-40.41734,Janeiro,15.9,78.2,151.0,0.604,20,13.7,58.8,Agricultura,Alto
AM,Amazônia,-5.04279,-64.02155,Outubro,33.2,74.0,160.3,0.304,25,27.8,3554.8,Agricultura,Médio
GO,Cerrado,-16.1147,-47.67989,Dezembro,25.8,69.1,189.6,0.868,60,8.5,3825.5,Cerrado/Savana,Médio
BA,Caatinga,-13.6208,-41.01754,Março,30.2,51.4,52.9,0.177,13,34.1,4076.6,Cerrado/Savana,Baixo
CE,Caatinga,-4.41741,-38.50884,Novembro,32.2,41.0,174.9,0.845,26,7.8,3132.0,Floresta,Médio
GO,Cerrado,-13.33334,-47.49714,Maio,41.3,41.9,460.3,0.527,72,16.6,911.1,Pastagem,Alto
MG,Cerrado,-19.40191,-47.69684,Janeiro,16.8,52.8,143.8,-0.088,151,8.4,3970.8,Pastagem,Médio
MT,Cerrado/Amazônia,-13.69779,-56.80649,Abril,26.3,16.6,64.7,0.649,21,24.7,4500.0,Floresta,Baixo
CE,Caatinga,-5.64247,-36.69815,Agosto,21.6,68.0,151.2,0.04,73,19.1,3172.6,Pastagem,Médio
MG,Cerrado,-18.48183,-43.56943,Junho,27.9,39.9,277.3,0.564,27,15.0,1382.8,Cerrado/Savana,Alto
PR,Mata Atlântica,-24.56418,-52.06995,Janeiro,39.9,29.1,16.5,0.504,46,19.0,905.0,Floresta,Médio
CE,Caatinga,-7.98722,-39.76793,Dezembro,34.5,88.8,37.0,-0.103,0,16.8,42.3,Corpo d'Água,Baixo
PR,Mata Atlântica,-20.00803,-53.41669,Janeiro,32.9,25.3,302.0,-0.003,86,34.2,94.4,Agricultura,Alto
BA,Caatinga,-15.30231,-38.79542,Março,26.9,86.6,350.8,0.861,50,5.0,60.7,Floresta,Alto
MG,Cerrado,-17.39688,-44.26887,Outubro,33.1,24.4,79.4,0.137,8,31.7,1492.2,Área Urbana,Alto
MT,Cerrado/Amazônia,-10.63599,-58.16725,Agosto,15.9,85.0,56.3,0.528,52,26.2,4615.6,Área Urbana,Médio
GO,Cerrado,-15.98989,-48.40727,Novembro,30.8,58.6,39.9,0.606,4,13.9,3110.4,Floresta,Baixo
PA,Amazônia,-2.37447,-54.48282,Novembro,30.0,83.7,82.9,0.845,48,36.8,1936.7,Floresta,Médio
AM,Amazônia,-1.5489,-61.64724,Agosto,24.4,50.3,327.1,0.504,28,7.1,64.1,Agricultura,Alto
SP,Mata Atlântica,-23.30541,-46.64159,Março,20.4,88.8,19.5,0.159,60,12.4,4948.6,Área Urbana,Baixo
MT,Cerrado/Amazônia,-14.75697,-55.47537,Julho,36.8,28.0,65.3,0.537,109,15.0,2284.7,Agricultura,Médio
MG,Cerrado,-19.6834,-46.16954,Dezembro,16.5,57.1,291.1,0.779,59,25.9,4957.6,Floresta,Alto
PA,Amazônia,-4.21181,-51.5463,Março,16.9,20.7,51.5,0.744,48,37.9,3603.5,Floresta,Baixo
MT,Cerrado/Amazônia,-12.5615,-55.30068,Abril,26.9,48.0,175.4,0.808,53,23.7,265.7,Cerrado/Savana,Alto
MG,Cerrado,-16.3711,-42.58766,Setembro,21.8,58.4,59.2,0.633,19,34.3,4296.5,Floresta,Baixo
RS,Pampa,-30.82242,-49.70884,Abril,35.1,61.5,196.1,0.672,16,36.2,2656.7,Floresta,Alto
RS,Pampa,-29.71254,-48.64114,Março,32.1,41.1,475.6,0.48,50,18.7,2269.1,Pastagem,Alto
PR,Mata Atlântica,-25.07559,-52.08471,Maio,35.9,16.5,58.9,-0.1,80,18.9,3791.7,Cerrado/Savana,Médio
MT,Cerrado/Amazônia,-13.6007,-56.63607,Julho,23.8,65.7,223.8,-0.069,43,10.0,3876.3,Cerrado/Savana,Médio
RS,Pampa,-29.32991,-50.50106,Maio,35.0,51.5,500.0,0.017,5,24.1,3984.2,Área Urbana,Alto
MG,Cerrado,-17.98624,-43.54344,Abril,38.3,21.6,495.0,0.514,108,4.8,3805.1,Floresta,Alto
PR,Mata Atlântica,-25.22381,-52.85877,Agosto,24.3,89.5,68.3,0.656,18,25.4,3209.9,Cerrado/Savana,Baixo
MG,Cerrado,-19.94974,-43.08742,Abril,24.2,91.2,79.8,0.504,97,35.7,3381.4,Pastagem,Médio
PR,Mata Atlântica,-24.18452,-54.33376,Fevereiro,39.3,82.8,43.4,0.109,11,30.4,4294.3,Cerrado/Savana,Baixo
MT,Cerrado/Amazônia,-11.03487,-54.09935,Outubro,16.3,81.7,45.2,0.639,15,26.0,3455.8,Agricultura,Baixo
PA,Amazônia,-6.61388,-52.22576,Junho,24.5,18.4,81.4,0.308,41,33.5,515.8,Área Urbana,Médio
GO,Cerrado,-16.54019,-48.89754,Fevereiro,18.2,94.4,26.9,0.411,9,29.2,3231.0,Pastagem,Baixo
CE,Caatinga,-6.84901,-39.75717,Março,15.8,44.0,149.0,0.798,23,21.2,858.3,Agricultura,Alto
PA,Amazônia,-4.06803,-50.87643,Janeiro,18.0,23.9,92.2,0.841,42,20.8,81.1,Floresta,Médio
BA,Caatinga,-11.94026,-42.20857,Maio,26.6,79.0,274.0,0.749,42,4.3,1078.7,Floresta,Alto
MG,Cerrado,-20.8989,-45.68632,Setembro,33.5,29.2,199.7,0.862,71,17.4,780.5,Cerrado/Savana,Alto
BA,Caatinga,-13.28391,-42.7466,Fevereiro,22.8,54.7,46.7,0.351,36,20.9,519.5,Área Urbana,Médio
PA,Amazônia,-5.45067,-53.24283,Dezembro,37.9,20.9,84.6,0.261,105,18.8,1082.8,Pastagem,Médio
PR,Mata Atlântica,-24.63182,-49.74606,Julho,26.8,50.3,166.6,0.484,21,31.0,2822.2,Cerrado/Savana,Alto
CE,Caatinga,-5.70969,-41.7243,Maio,41.1,57.4,25.8,0.141,44,6.4,765.8,Pastagem,Baixo
CE,Caatinga,-6.15256,-38.77462,Fevereiro,40.8,47.9,3.9,0.618,66,31.8,1404.4,Floresta,Baixo
SP,Mata Atlântica,-22.53308,-46.02087,Agosto,35.9,15.9,229.5,0.427,57,29.7,4249.5,Pastagem,Alto
CE,Caatinga,-3.14889,-39.92954,Novembro,40.2,51.2,17.8,0.774,84,36.0,4441.4,Floresta,Médio
GO,Cerrado,-12.75175,-48.61272,Junho,34.1,49.9,264.2,-0.087,41,14.9,1672.1,Pastagem,Alto
CE,Caatinga,-8.88523,-36.94901,Abril,39.2,32.2,293.9,0.899,53,7.1,4495.8,Agricultura,Alto
PA,Amazônia,-6.69048,-54.28115,Abril,21.4,88.3,74.1,0.482,23,30.3,2932.8,Cerrado/Savana,Médio
SP,Mata Atlântica,-22.76434,-49.23727,Fevereiro,24.3,45.5,197.3,0.081,41,23.5,1139.6,Área Urbana,Alto
PA,Amazônia,-6.5832,-50.39435,Março,35.3,83.4,54.2,0.666,62,28.5,3773.9,Floresta,Baixo
PA,Amazônia,-4.70567,-51.51164,Julho,26.5,19.3,234.5,0.704,13,39.9,4611.2,Floresta,Alto
AM,Amazônia,-4.45537,-64.52755,Março,37.6,37.1,208.9,0.038,24,7.8,3299.6,Pastagem,Médio
SP,Mata Atlântica,-22.48977,-45.23462,Maio,38.7,25.0,9.8,-0.1,99,16.4,1014.6,Área Urbana,Médio
PA,Amazônia,-4.21251,-52.4164,Outubro,23.1,44.7,104.8,0.698,19,7.7,438.5,Cerrado/Savana,Médio
AM,Amazônia,-4.9206,-58.56335,Junho,37.2,19.5,122.6,0.416,81,34.4,1154.8,Área Urbana,Alto
AM,Amazônia,-2.75032,-62.48083,Junho,19.2,47.5,0.1,0.21,28,0.7,1699.2,Pastagem,Baixo
SP,Mata Atlântica,-23.80417,-46.4056,Abril,24.0,40.1,469.0,-0.042,59,5.4,1675.3,Agricultura,Alto
BA,Caatinga,-10.97559,-41.41556,Junho,29.0,29.0,62.6,0.386,24,9.9,2497.7,Área Urbana,Médio
PR,Mata Atlântica,-23.60223,-51.3229,Março,21.1,64.6,87.4,0.176,70,30.9,2530.8,Pastagem,Médio
GO,Cerrado,-15.99853,-48.87812,Julho,30.6,90.8,26.0,0.298,10,25.1,2362.4,Pastagem,Baixo
PR,Mata Atlântica,-23.98507,-51.80445,Julho,30.6,27.6,113.3,0.174,33,15.5,1725.7,Pastagem,Médio
CE,Caatinga,-6.22381,-39.13741,Abril,20.6,70.5,199.7,0.075,15,6.3,543.1,Agricultura,Alto
GO,Cerrado,-15.71248,-50.67231,Fevereiro,36.5,73.1,105.8,0.602,32,12.9,2097.4,Floresta,Baixo
CE,Caatinga,-6.3636,-39.03429,Novembro,32.1,52.3,186.2,0.865,23,29.7,4928.9,Agricultura,Alto
PA,Amazônia,-4.71486,-53.27005,Julho,23.6,86.3,157.6,0.166,27,15.3,3272.8,Agricultura,Médio
MG,Cerrado,-19.37991,-45.79538,Março,21.3,92.1,32.6,0.236,35,18.5,2204.5,Pastagem,Baixo
SP,Mata Atlântica,-22.97662,-47.83597,Janeiro,38.7,40.8,68.7,0.624,37,24.3,426.6,Floresta,Médio
GO,Cerrado,-12.4683,-50.45542,Fevereiro,37.6,65.3,19.3,0.38,12,36.5,1074.1,Agricultura,Baixo
GO,Cerrado,-19.46782,-49.88526,Outubro,21.2,66.3,5.1,0.828,2,10.0,2877.5,Floresta,Baixo
PA,Amazônia,-5.64955,-51.06242,Setembro,16.0,81.2,7.8,-0.19,0,17.9,49.3,Corpo d'Água,Baixo
BA,Caatinga,-12.14781,-42.95075,Dezembro,36.7,36.9,342.7,0.839,17,12.4,105.8,Floresta,Alto
AM,Amazônia,-3.89959,-61.72887,Agosto,31.6,89.4,500.0,0.015,66,18.6,440.3,Agricultura,Alto
PA,Amazônia,-8.78707,-50.72207,Junho,17.7,77.1,12.0,0.795,36,27.9,1786.5,Cerrado/Savana,Baixo
RS,Pampa,-31.27675,-49.10443,Junho,30.9,19.7,49.0,0.085,5,19.3,712.7,Agricultura,Médio
AM,Amazônia,-2.8813,-61.27561,Janeiro,27.2,20.2,14.6,-0.061,10,33.4,4789.6,Pastagem,Baixo
SP,Mata Atlântica,-21.82586,-45.7703,Fevereiro,35.9,88.4,215.7,0.058,34,22.1,180.2,Pastagem,Alto
AM,Amazônia,-2.46067,-62.46662,Abril,20.6,16.9,82.3,0.825,15,15.4,4870.5,Floresta,Baixo
BA,Caatinga,-12.02175,-42.58125,Março,27.2,88.0,116.5,-0.118,0,31.3,24.9,Corpo d'Água,Médio
AM,Amazônia,-3.98512,-59.27296,Janeiro,19.2,29.3,93.2,0.787,14,17.3,2042.1,Floresta,Médio
SP,Mata Atlântica,-24.76229,-46.39852,Agosto,40.9,13.0,148.6,0.416,54,20.6,2701.8,Área Urbana,Alto
BA,Caatinga,-12.4098,-42.16613,Julho,36.0,15.1,46.1,-0.1,91,39.8,2056.5,Pastagem,Médio
PR,Mata Atlântica,-24.1184,-50.66542,Abril,34.9,41.7,17.7,0.872,108,31.5,2870.3,Floresta,Médio
GO,Cerrado,-17.21873,-49.68796,Dezembro,33.6,16.6,2.1,0.232,68,34.2,768.5,Pastagem,Médio
GO,Cerrado,-17.45355,-48.65718,Dezembro,26.4,60.7,70.8,0.531,93,23.7,608.9,Pastagem,Médio
CE,Caatinga,-4.83527,-39.52651,Setembro,39.9,65.0,286.1,-0.056,47,13.9,2647.7,Agricultura,Alto
PR,Mata Atlântica,-23.90145,-51.96327,Novembro,17.0,41.7,43.7,0.66,138,39.7,366.0,Floresta,Médio
PR,Mata Atlântica,-23.51897,-52.97267,Abril,36.7,73.8,26.2,-0.057,0,9.8,33.9,Corpo d'Água,Baixo
AM,Amazônia,-1.35219,-63.04637,Janeiro,20.8,51.7,312.5,0.711,24,34.9,4635.2,Pastagem,Alto
GO,Cerrado,-18.37427,-50.3328,Outubro,23.7,46.6,13.4,0.571,15,36.5,4382.3,Cerrado/Savana,Baixo
SP,Mata Atlântica,-24.21295,-47.13411,Janeiro,29.0,44.6,6.4,-0.083,19,32.7,4158.7,Pastagem,Baixo
MT,Cerrado/Amazônia,-12.33253,-55.27324,Janeiro,36.1,46.6,253.8,0.856,53,4.6,2540.7,Floresta,Alto
MT,Cerrado/Amazônia,-12.96756,-57.95743,Janeiro,37.6,92.3,144.8,0.795,2,34.2,149.1,Floresta,Alto
BA,Caatinga,-14.26982,-42.40227,Abril,30.8,67.9,65.8,0.678,95,26.6,615.6,Floresta,Médio
GO,Cerrado,-18.66174,-50.9277,Janeiro,25.9,36.8,167.5,0.487,15,27.2,4598.1,Área Urbana,Alto
GO,Cerrado,-13.96392,-51.07504,Fevereiro,40.6,72.4,162.3,0.623,27,31.5,4183.7,Floresta,Médio
MT,Cerrado/Amazônia,-11.73693,-58.75972,Abril,21.7,38.1,4.9,0.283,11,19.6,1888.8,Agricultura,Baixo
GO,Cerrado,-13.17336,-47.08359,Julho,36.7,20.7,135.3,0.421,42,10.7,3647.6,Floresta,Médio
AM,Amazônia,-2.58347,-59.23312,Fevereiro,31.5,50.4,122.9,0.896,54,23.0,4274.1,Floresta,Médio
RS,Pampa,-29.49631,-50.07722,Agosto,25.2,73.8,398.2,0.652,26,4.3,3105.5,Floresta,Alto
MG,Cerrado,-16.6171,-44.28042,Julho,15.0,42.1,408.0,0.392,92,27.0,4269.1,Área Urbana,Alto
PR,Mata Atlântica,-27.21857,-50.36655,Setembro,27.1,83.9,56.9,0.704,27,19.3,1230.9,Floresta,Baixo
CE,Caatinga,-5.80779,-40.24629,Junho,22.5,42.9,106.9,0.65,32,20.1,2316.1,Floresta,Médio
BA,Caatinga,-12.13316,-40.85058,Abril,17.8,39.7,18.3,0.864,56,7.4,2899.4,Floresta,Baixo
RS,Pampa,-29.8048,-50.27641,Junho,17.0,94.9,8.3,0.09,25,1.7,3159.5,Cerrado/Savana,Baixo
MT,Cerrado/Amazônia,-13.74029,-56.98406,Abril,24.4,51.0,68.0,0.053,4,24.5,4935.1,Área Urbana,Baixo
PR,Mata Atlântica,-23.61637,-48.89081,Julho,31.6,78.4,140.5,0.248,29,26.4,4231.2,Área Urbana,Médio
GO,Cerrado,-12.64035,-49.19053,Setembro,37.6,78.4,100.7,0.765,2,19.9,285.8,Floresta,Médio
CE,Caatinga,-3.83999,-36.67763,Março,20.0,88.7,67.4,0.856,28,30.6,854.0,Floresta,Médio
GO,Cerrado,-16.83625,-48.89545,Março,26.5,17.2,204.5,0.202,26,22.5,3289.1,Agricultura,Alto
SP,Mata Atlântica,-22.39749,-44.45821,Fevereiro,25.6,33.1,189.8,0.768,65,33.9,1210.1,Cerrado/Savana,Alto
SP,Mata Atlântica,-25.25571,-48.03911,Janeiro,28.9,75.3,158.0,0.405,33,11.5,803.2,Agricultura,Médio
CE,Caatinga,-5.06793,-39.08341,Janeiro,36.9,57.8,9.6,0.896,18,9.7,3336.6,Floresta,Baixo
CE,Caatinga,-3.4157,-38.87368,Março,29.9,57.6,191.0,0.602,49,10.4,2686.8,Cerrado/Savana,Alto
MT,Cerrado/Amazônia,-12.90712,-56.29531,Julho,37.9,24.1,302.2,0.565,28,1.2,4027.9,Floresta,Alto
CE,Caatinga,-4.64843,-37.03248,Novembro,29.0,33.9,7.4,0.419,40,36.0,1603.6,Área Urbana,Médio
AM,Amazônia,-3.22151,-62.79463,Setembro,31.3,54.3,61.6,0.819,36,40.0,1655.2,Floresta,Médio
GO,Cerrado,-15.15559,-49.54227,Fevereiro,26.8,33.6,500.0,0.81,88,32.7,761.0,Floresta,Alto
RS,Pampa,-32.38649,-51.25348,Julho,37.2,27.9,109.7,0.607,68,16.5,3264.8,Cerrado/Savana,Médio
PA,Amazônia,-5.69111,-53.54581,Janeiro,39.9,17.5,86.5,0.655,56,14.2,3547.4,Floresta,Médio
CE,Caatinga,-3.54663,-40.82852,Fevereiro,32.3,23.2,23.4,0.799,57,31.0,700.7,Floresta,Médio
BA,Caatinga,-11.89657,-41.92179,Junho,37.2,75.4,100.0,0.879,50,20.4,1278.0,Floresta,Médio
SP,Mata Atlântica,-23.38846,-46.01232,Novembro,16.6,78.4,69.4,-0.05,0,37.6,19.3,Corpo d'Água,Médio
AM,Amazônia,-5.43136,-61.93251,Maio,39.5,13.9,16.4,0.472,54,11.2,3740.9,Cerrado/Savana,Médio
PR,Mata Atlântica,-21.45658,-53.88515,Agosto,20.1,27.3,74.9,0.174,114,13.0,1053.4,Cerrado/Savana,Médio
PA,Amazônia,-5.62641,-51.04514,Dezembro,21.9,57.6,21.6,0.874,20,40.0,769.7,Área Urbana,Médio
RS,Pampa,-29.57757,-50.19805,Novembro,16.4,37.4,157.4,0.643,24,39.1,358.6,Agricultura,Alto
PA,Amazônia,-9.1035,-51.83263,Fevereiro,41.1,80.0,436.3,0.505,8,35.4,4158.2,Pastagem,Alto
CE,Caatinga,-6.24253,-39.18518,Janeiro,38.0,76.7,76.1,0.822,47,16.2,628.7,Pastagem,Médio
MT,Cerrado/Amazônia,-12.72415,-53.5025,Julho,39.7,85.8,120.1,0.062,32,33.5,158.0,Agricultura,Alto
SP,Mata Atlântica,-22.72996,-46.79894,Junho,37.9,57.8,67.7,0.623,16,11.3,330.9,Floresta,Médio
SP,Mata Atlântica,-25.81454,-46.44828,Agosto,27.9,39.9,17.9,0.464,10,10.2,1840.5,Pastagem,Baixo
PR,Mata Atlântica,-23.65516,-51.67083,Novembro,40.0,61.5,423.0,0.784,43,21.9,2987.3,Floresta,Alto
MT,Cerrado/Amazônia,-13.43848,-57.77888,Agosto,41.2,17.6,16.7,0.602,33,34.4,1997.0,Floresta,Baixo
GO,Cerrado,-15.02729,-48.70092,Fevereiro,28.6,10.8,14.2,0.77,58,3.9,2282.5,Floresta,Baixo
MG,Cerrado,-16.46818,-46.0425,Agosto,19.7,11.5,73.8,0.019,30,22.6,4597.3,Agricultura,Baixo
AM,Amazônia,-2.68103,-62.40256,Junho,32.8,44.6,129.1,0.309,12,24.4,3797.0,Área Urbana,Médio
SP,Mata Atlântica,-23.68835,-46.02726,Setembro,41.3,29.4,52.6,0.166,43,23.2,1711.8,Pastagem,Médio
BA,Caatinga,-11.96852,-40.90685,Dezembro,38.5,23.4,25.7,-0.1,30,8.7,780.0,Cerrado/Savana,Médio
SP,Mata Atlântica,-25.13621,-47.75472,Julho,38.3,62.3,205.1,-0.058,38,2.6,3748.4,Pastagem,Médio
PA,Amazônia,-3.3112,-53.06086,Fevereiro,40.2,94.6,54.1,0.314,10,35.8,2871.9,Agricultura,Baixo
SP,Mata Atlântica,-23.09098,-45.048,Agosto,39.1,25.1,25.9,0.46,53,23.0,4811.6,Pastagem,Médio
SP,Mata Atlântica,-22.85484,-45.81022,Setembro,36.0,56.4,54.5,0.774,4,30.7,4543.1,Pastagem,Baixo
MG,Cerrado,-17.16813,-47.725,Julho,34.4,20.2,29.0,0.836,22,14.6,2822.6,Floresta,Médio
MG,Cerrado,-19.24493,-43.84709,Abril,22.1,89.4,87.9,0.425,12,1.7,358.9,Pastagem,Médio
RS,Pampa,-27.94853,-51.13086,Setembro,31.8,34.8,132.4,0.871,60,10.4,164.5,Floresta,Médio
GO,Cerrado,-17.09707,-51.06713,Abril,29.1,84.7,192.9,0.275,48,2.9,4189.2,Pastagem,Médio
BA,Caatinga,-11.25421,-42.02666,Dezembro,38.3,34.1,31.0,0.833,53,3.1,3493.2,Agricultura,Baixo
SP,Mata Atlântica,-23.5608,-45.70745,Abril,28.3,78.5,21.9,0.68,38,8.6,2805.2,Floresta,Baixo
SP,Mata Atlântica,-27.90229,-43.62945,Setembro,18.4,27.8,2.4,0.749,61,25.3,3447.7,Floresta,Médio
AM,Amazônia,-4.56661,-61.8571,Agosto,15.1,81.7,31.1,-0.021,0,32.7,3.3,Corpo d'Água,Médio
MG,Cerrado,-21.06705,-45.18381,Abril,33.3,26.4,2.9,0.86,56,32.9,2895.9,Agricultura,Médio
BA,Caatinga,-10.71297,-44.57425,Agosto,29.8,32.5,50.9,0.356,14,37.5,1137.2,Cerrado/Savana,Médio
PR,Mata Atlântica,-23.2007,-51.96054,Agosto,23.9,81.0,18.9,0.617,52,26.3,2283.0,Floresta,Baixo
RS,Pampa,-29.29925,-50.24371,Julho,19.6,64.3,104.1,0.353,34,0.8,65.3,Cerrado/Savana,Médio
GO,Cerrado,-15.16787,-51.13743,Outubro,27.6,44.5,58.1,0.153,22,15.1,3347.0,Cerrado/Savana,Baixo
MT,Cerrado/Amazônia,-13.22682,-59.11233,Junho,17.7,92.6,11.8,0.71,8,4.5,1668.2,Agricultura,Baixo
GO,Cerrado,-15.09231,-47.28692,Agosto,24.1,49.5,61.3,0.732,45,31.1,3285.1,Floresta,Baixo
PA,Amazônia,-8.27666,-53.87247,Julho,25.2,92.4,28.2,0.59,29,4.8,4633.0,Agricultura,Baixo
SP,Mata Atlântica,-23.82266,-46.36999,Maio,27.6,26.7,136.8,0.494,36,4.2,2962.3,Área Urbana,Médio
RS,Pampa,-28.71124,-51.4583,Dezembro,27.6,86.9,54.4,0.044,16,1.1,1647.1,Cerrado/Savana,Baixo
PA,Amazônia,-6.01394,-51.0753,Abril,21.9,11.2,19.1,0.839,19,38.2,1043.7,Floresta,Baixo
BA,Caatinga,-11.58701,-40.89153,Dezembro,38.0,56.4,51.6,0.559,25,31.4,1266.0,Agricultura,Médio
MT,Cerrado/Amazônia,-12.51123,-55.44527,Fevereiro,24.6,46.0,30.5,0.212,19,13.3,4936.6,Agricultura,Baixo
MG,Cerrado,-19.49446,-45.73904,Novembro,21.2,54.6,190.6,0.625,14,15.1,3080.7,Floresta,Alto
RS,Pampa,-28.91085,-53.66755,Agosto,19.7,57.0,491.6,-0.041,41,2.4,2208.3,Pastagem,Alto
RS,Pampa,-29.89173,-51.70484,Setembro,23.7,43.1,3.1,0.666,24,6.3,1162.6,Agricultura,Baixo
SP,Mata Atlântica,-25.65863,-48.0269,Abril,16.8,94.8,140.5,0.662,25,12.5,3867.5,Floresta,Médio
CE,Caatinga,-5.26346,-38.09906,Abril,15.9,93.0,36.8,0.681,60,15.5,1943.3,Floresta,Baixo
RS,Pampa,-31.00944,-49.40993,Maio,31.3,91.7,8.2,0.768,34,24.8,1512.6,Floresta,Baixo
AM,Amazônia,-3.37523,-60.25442,Fevereiro,31.7,94.1,1.7,-0.187,0,14.0,23.5,Corpo d'Água,Baixo
MT,Cerrado/Amazônia,-13.58674,-56.99321,Julho,29.3,77.4,255.4,0.746,66,38.2,936.3,Floresta,Alto
MT,Cerrado/Amazônia,-12.12727,-57.18927,Maio,35.6,94.0,52.4,0.698,13,13.7,1374.2,Floresta,Baixo
AM,Amazônia,-2.04046,-65.53135,Junho,16.1,85.9,500.0,0.664,48,37.7,3139.7,Floresta,Alto
PR,Mata Atlântica,-21.25639,-50.26334,Abril,40.3,95.6,70.1,-0.091,0,29.2,4.7,Corpo d'Água,Médio
AM,Amazônia,-3.7303,-63.04848,Agosto,17.6,76.7,24.9,0.618,20,36.0,312.4,Floresta,Médio
AM,Amazônia,-4.76963,-61.25158,Agosto,33.2,87.5,180.1,0.363,51,28.1,1801.5,Agricultura,Alto
MT,Cerrado/Amazônia,-11.18753,-57.16379,Dezembro,18.6,70.6,313.2,0.634,37,22.7,2928.4,Floresta,Alto
GO,Cerrado,-14.16951,-51.20089,Maio,38.8,45.9,202.9,0.826,10,20.4,310.5,Agricultura,Alto
